MemberID,LastName,FirstName,Honorific,Gender,BirthDate,MaritalStatus,Address,City,State,Zip,Phone,Email,MemberType,MembershipDate,AttendanceBeginDate,AttendanceLastDate
7178,Ellis,Lucas,Mr,M,10/6/1929,Divorced,417 Brook Stead,Waco,TX,76799,,lellis@earth.edu,Minister,7/26/1978,7/19/1977,11/4/2015
7111,Colon,Colton,Mr,M,11/15/1941,Married,2081 Hills Bend,Waco,TX,76706,2547683181,c-colon@neptune.gov,Minister,4/26/2006,8/29/2004,3/4/2018
5472,Buckner,Yareli,Dr,F,4/19/1972,Divorced,5289 Old Manor,Mc Gregor,TX,76657,8202517916,y-buckner@saturn.edu,Attender,2/1/2017,9/15/2016,1/5/2018
4923,Caldwell,Cooper,Mr,M,1/2/1985,Unknown,6235 Dusty Pike,Ross,TX,76684,,cooper3@earth.com,Member,5/25/2016,2/2/2016,2/20/2018
8517,Benton,Jaidyn,Mrs,F,9/16/1953,Unknown,418 Quail Dr,Moody,TX,76557,,j-benton@venus.com,Dependent,12/8/1990,7/23/1989,3/14/2018
2077,Benton,Irvin,Mr,M,5/24/1951,Married,3294 Prairie Cove,Waco,TX,76710,2547825470,i-benton@uranus.gov,Staff,6/4/2003,1/10/2002,1/15/2018
5473,Downs,Nadia,Mrs,F,7/21/1957,Separated,2487 Island Woods,Waco,TX,76702,2543258853,nadia1@earth.edu,Archived,7/9/1982,10/18/1981,12/19/1982
1673,Crawford,Nico,Dr,M,1/4/2004,Not applicable,1240 Old Rd,Niagara Falls,NY,14305,8209646314,n-crawford@mercury.edu,Dependent,,9/24/2017,1/14/2018
4241,Simpson,Ethan,Mr,M,9/17/1988,Married,7313 Wishing Trace,Waco,TX,76715,5128561176,esimpson@jupiter.com,Attender,6/5/2008,5/10/2007,3/3/2018
2348,McCoy,Carla,Miss,F,1/14/1967,Unknown,5965 Beacon Lane,Eddy,TX,76524,8209193959,,Visitor,3/22/2009,5/26/2007,1/16/2018
3319,Logan,Janiyah,Miss,F,6/18/1971,Married,4184 Bright Glen,China Spring,TX,76633,,jlogan@earth.edu,Visitor,8/18/2004,7/23/2004,6/17/2017
2835,Stokes,Megan,Miss,F,12/4/2003,Not applicable,6260 River Falls,Waco,TX,76710,5129253960,,Dependent,,12/1/2014,7/10/2015
9541,Sawyer,Oscar,Mr,M,4/8/1967,Separated,2959 Bright Valley,Sabinsville,PA,16943,8208171268,o-sawyer@saturn.gov,Dependent,11/3/1987,3/3/1986,4/3/2018
9316,Valentine,Bailee,Mrs,F,11/8/1981,Married,1062 Timber Pike,Eddy,TX,76524,8205441849,bailee1@saturn.com,Dependent,12/15/2001,4/25/2001,1/5/2018
5152,Russo,Westin,Mr,M,3/5/1950,Married,4993 Dewy Dell,Riesel,TX,76682,5128179509,w-russo@uranus.gov,Archived,2/17/2010,4/1/2009,6/29/2010
2022,Wilder,Evelyn,Mrs,F,11/9/1959,Single,6378 Dale Glade,Waco,TX,76701,,ewilder@neptune.edu,Archived,5/14/1988,9/21/1986,6/19/1988
3095,McCormick,Karley,Mrs,F,5/18/1963,Divorced,5401 Umber Bend,Waco,TX,76701,,k-mccormick@earth.gov,Visitor,10/4/2016,12/29/2015,1/20/2018
4527,Fields,Albert,Mr,M,12/24/1976,Widowed,8498 Heather Nook,Elm Mott,TX,76640,8206799771,fields5892@mars.edu,Visitor,9/11/2009,12/19/2008,3/3/2018
9093,Grant,Paisley,Miss,F,3/30/1934,Widowed,6601 Gate Dale,China Spring,TX,76633,,grant3747@saturn.gov,Archived,2/24/1980,11/20/1979,5/11/1980
8736,Potts,Gilberto,Mr,M,7/15/1990,Unknown,7526 Pond Hollow,Bruceville,TX,76630,5125361673,potts8857@jupiter.com,Dependent,1/5/2017,1/13/2015,1/21/2018
9013,McNeil,Bianca,Miss,F,10/22/1993,Widowed,8004 Bear Vale,Waco,TX,76702,2543666382,b-mcneil@venus.com,Archived,11/4/2016,3/17/2016,12/20/2016
7233,Wilkins,Teresa,Miss,F,11/29/1954,Unknown,1410 Misty Vista,Waco,TX,76703,8209119819,t-wilkins@jupiter.com,Member,11/21/2011,4/1/2011,3/16/2018
9899,Donaldson,Brittany,Mrs,F,6/7/1975,Divorced,1591 Rabbit Place,Crawford,TX,76638,8202251867,brittany2@neptune.com,Minister,8/8/2000,12/25/1998,3/25/2018
1743,May,Wyatt,Mr,M,12/24/2006,Not applicable,335 Horse Vale,Ross,TX,76684,,wyatt1@mars.com,Dependent,,10/11/2016,1/20/2018
8252,Jarvis,Clayton,Mr,M,10/3/1965,Widowed,427 Merry Point,Jacksonville,FL,32220,5129902440,,Visitor,8/4/1996,5/7/1996,4/6/2018
7252,Robbins,London,Dr,F,2/4/1939,Separated,8847 Willow Knoll,Elm Mott,TX,76640,8204801621,,Staff,12/4/2000,7/26/1999,2/24/2018
9995,Fowler,Lilliana,Dr,F,9/10/1976,Separated,8308 Horse Woods,Waco,TX,76711,8202696708,fowler4950@mercury.gov,Staff,6/12/2006,3/19/2005,1/14/2017
7883,Forbes,Mathew,Mr,M,9/26/1961,Separated,5534 Timber Avenue,Fort Lewis,WA,98433,2542176044,mathew1@uranus.com,Visitor,7/4/1988,6/29/1987,3/9/2018
2842,Nieves,Lukas,Mr,M,6/2/1991,Married,3444 Red Estates,Waco,TX,76702,8202922754,lukas1@venus.com,Staff,12/19/2015,12/19/2013,3/19/2018
9267,Pena,Lilia,Miss,F,11/12/1959,Unknown,3063 Red Edge,Riesel,TX,76682,5126003255,pena4144@mars.com,Member,6/9/2011,7/10/2010,12/24/2017
8727,Figueroa,Lillian,Mrs,F,1/6/1981,Divorced,7556 Log Manor,Fallsburg,NY,12733,8203272300,lillian3@earth.gov,Member,6/24/2004,2/24/2004,1/14/2018
3360,Gonzalez,Ivan,Dr,M,9/24/1950,Single,7952 Cider Vale,Bruceville,TX,76630,5129082844,ivan3@venus.gov,Attender,12/16/2010,10/19/2010,2/18/2018
7887,Larson,Moriah,Mrs,F,12/8/1981,Separated,6767 Pine Point,Waco,TX,76705,2546332949,larson8745@neptune.gov,Member,10/15/2013,7/23/2013,12/16/2017
5084,Lamb,Roberta,Mrs,F,7/15/2002,Not applicable,2492 Hickory Swale,Bruceville,TX,76630,,rlamb@uranus.com,Dependent,,8/7/2017,12/19/2017
2941,Cook,Riya,Dr,F,2/9/1938,Married,8186 Nectar Meadow,Eddy,TX,76524,5125173701,cook6884@jupiter.edu,Contact,6/4/1987,6/24/1985,2/6/2018
1121,Kirk,Elijah,Mr,M,3/12/1936,Widowed,5691 Cotton Circle,West,TX,76691,2546318783,e-kirk@jupiter.edu,Member,10/19/1979,7/24/1979,3/26/2018
3256,Estes,Brandon,Mr,M,8/31/1983,Single,4080 Log Dr,Ross,TX,76684,2545842966,b-estes@venus.gov,Member,4/16/2014,10/20/2012,2/27/2018
1157,Becker,Darius,Mr,M,9/20/2004,Not applicable,2310 Deer Swale,Waco,TX,76708,5126252673,becker8306@earth.edu,Dependent,,9/13/2016,2/13/2018
3426,Henson,Reyna,Mrs,F,4/19/1962,Married,3612 Misty Stead,Waco,TX,76710,2544181573,rhenson@uranus.gov,Attender,7/18/2013,11/26/2011,3/12/2018
8109,Bright,Maria,Mrs,F,12/23/1983,Separated,3881 Grand Chase,Ross,TX,76684,2548646486,maria2@venus.com,Member,1/6/2005,6/13/2004,2/11/2016
4866,Dotson,Deon,Mr,M,12/31/1972,Widowed,4187 Lake Ridge,Waco,TX,76798,2549868037,ddotson@saturn.edu,Archived,8/1/1993,9/1/1991,12/18/2017
6106,Hardin,Kylee,Miss,F,2/4/1926,Single,6154 Lagoon Acres,Pensacola,FL,32815,8206022556,k-hardin@venus.gov,Visitor,1/19/1955,4/23/1954,2/27/2018
2562,Wyatt,Cyrus,Dr,M,1/28/1972,Widowed,422 Gentle Canyon,Waco,TX,76702,5124192318,cyrus1@venus.gov,Attender,6/16/2005,4/27/2005,3/30/2018
3271,Baird,Blaise,Mr,M,6/18/1950,Divorced,4662 Bear Orchard,Waco,TX,76798,5127369877,b-baird@neptune.gov,Staff,10/5/1992,1/31/1992,2/27/2018
2944,Dennis,Charlee,Mrs,F,1/10/1937,Unknown,7256 Middle Canyon,Axtell,TX,76624,,,Attender,10/2/1987,2/15/1987,3/5/2018
4642,Pope,Zaire,Mr,M,7/26/1968,Married,3631 Fawn Trace,Crawford,TX,76638,8209358424,,Dependent,5/25/2012,10/26/2011,2/5/2018
1867,Henry,Sam,Mr,M,10/5/1996,Single,1259 Apple View,Waco,TX,76714,2546555110,s-henry@neptune.com,Staff,9/3/2017,3/23/2017,6/11/2017
2434,Cortez,Hector,Mr,M,1/3/1996,Separated,1750 Dale Valley,Eddy,TX,76524,8203315639,h-cortez@uranus.edu,Visitor,10/4/2017,7/24/2016,12/18/2017
7818,McConnell,Isaak,Mr,M,5/25/1949,Widowed,8887 Zephyr Park,China Spring,TX,76633,5123324156,,Minister,6/4/2011,5/11/2010,12/23/2017
6429,Noel,Zain,Mr,M,8/13/1975,Separated,5651 Bluff Falls,Appleton,WI,54914,8202615616,,Visitor,1/8/2009,9/11/2007,10/14/2015
7907,Vega,Camilo,Mr,M,8/29/1948,Married,8447 Stony Manor,Waco,TX,76708,,camilo1@venus.com,Visitor,8/4/2016,1/16/2016,3/8/2018
9839,Hatfield,Douglas,Dr,M,6/13/1985,Married,2157 Quiet Isle,Hewitt,TX,76643,2549056091,dhatfield@saturn.gov,Minister,7/16/2008,10/4/2006,4/5/2018
2367,Snider,Micheal,Mr,M,7/18/1988,Unknown,7646 Bright Corner,Waco,TX,76708,5128812759,m-snider@uranus.gov,Dependent,8/20/2008,2/2/2007,2/27/2018
9243,Haynes,Craig,Mr,M,10/1/1985,Unknown,485 Easy Circle,Waco,TX,76795,,chaynes@uranus.edu,Attender,4/27/2012,11/18/2011,2/9/2018
7578,Sellers,Arnold,Mr,M,10/1/1960,Single,5611 Cotton Farms,Waco,TX,76714,2548607033,aryan1@neptune.edu,Contact,10/26/1995,7/15/1995,2/25/2018
8965,Ayers,Adeline,Dr,F,4/4/1969,Unknown,1721 Lake Valley,Waco,TX,76704,8205944865,a-ayers@mars.edu,Staff,9/8/1990,8/22/1989,12/19/2017
7061,Aguilar,Shane,Dr,M,1/3/1978,Not applicable,792 Hills Circle,Waco,TX,76714,2548297935,aguilar1172@neptune.gov,Dependent,12/9/2015,11/10/2015,1/8/2018
6990,Miles,Skylar,Miss,F,3/29/1942,Unknown,6206 Hickory Trail,Waco,TX,76715,2546352674,s-miles@mars.com,Dependent,1/6/2007,6/23/2005,1/5/2018
3368,Parsons,Cheyenne,Miss,F,6/21/1985,Single,431 Silent Place,Leroy,TX,76654,5123358766,parsons2636@uranus.gov,Staff,4/1/2017,5/2/2016,1/22/2018
8733,Hoffman,Kayleen,Miss,F,3/10/1961,Widowed,5088 Iron Round,Mart,TX,76664,5123998590,k-hoffman@mercury.com,Staff,11/8/1989,10/18/1989,2/23/2018
1006,Clements,Cason,Mr,M,11/13/1983,Unknown,5684 Quaking Corner,Woodway,TX,76712,5122241545,cason3@venus.gov,Visitor,3/10/2010,1/24/2010,1/11/2018
7099,Lloyd,Alaina,Mrs,F,6/28/1947,Divorced,581 Treasure Nook,Woodway,TX,76712,5127467268,a-lloyd@earth.com,Contact,9/6/2004,7/16/2004,12/27/2017
6618,Duke,Brittany,Miss,F,9/28/1928,Widowed,5269 Fawn Run,Hewitt,TX,76643,8207444079,brittany1@saturn.edu,Attender,2/22/2006,3/3/2005,1/4/2018
7302,Rogers,Dayton,Mr,M,5/23/1953,Widowed,2075 Quaking Trail,Eddy,TX,76524,8206439926,d-rogers@neptune.com,Member,9/12/1993,9/8/1992,7/26/2017
9159,Simpson,Maya,Mrs,F,2/10/1963,Divorced,6399 Elk Avenue,Waco,TX,76710,5123983035,m-simpson@venus.gov,Attender,6/4/1986,12/1/1985,11/12/2015
9850,Franklin,Shawn,Mr,M,2/28/1954,Widowed,3417 Berry View,Crawford,TX,76638,5122589960,shawn3@uranus.edu,Staff,12/22/1975,10/27/1975,5/7/2016
8559,Gomez,Skyler,Miss,F,1/26/2002,Not applicable,1664 Quiet Lane,Mc Gregor,TX,76657,2543398827,gomez1335@mars.edu,Dependent,,3/20/2016,12/27/2017
1752,Burns,Terrell,Mr,M,5/30/1970,Separated,3569 Panda Lane,Mc Gregor,TX,76657,8202521184,tburns@mercury.edu,Minister,2/2/2010,5/14/2008,1/15/2018
5253,Singleton,Jaime,Mr,M,12/9/1942,Separated,1800 Lazy Landing,Woodway,TX,76712,5124822868,jsingleton@saturn.gov,Attender,11/2/1984,4/1/1983,2/23/2018
2890,Summers,Kendall,Mrs,F,7/23/1926,Married,7240 Lazy Arbor,Hartford,AL,36344,2543928524,summers3542@jupiter.edu,Dependent,1/12/2005,9/15/2003,1/28/2018
5005,Adkins,Aiden,Mr,M,5/10/1936,Separated,2226 Quail Dell,Leroy,TX,76654,2544186262,aadkins@mars.edu,Dependent,6/20/1978,3/15/1977,1/14/2018
9998,Randall,Wilson,Mr,M,10/7/1931,Unknown,1164 Grand Circle,Axtell,TX,76624,2544516394,wilson1@jupiter.edu,Member,4/12/1965,8/8/1963,1/23/2018
8688,Brown,Dahlia,Miss,F,12/13/1996,Widowed,2942 Red Ledge,Eddy,TX,76524,,dahlia3@venus.edu,Member,8/24/2016,5/12/2016,2/26/2018
9284,Yates,Brennan,Mr,M,11/7/1971,Married,5645 Emerald Place,Ross,TX,76684,2545401723,byates@jupiter.com,Attender,7/18/2002,6/13/2002,3/2/2018
9104,Blankenship,Raymond,Dr,M,3/16/1996,Unknown,7019 Bright Vale,Hewitt,TX,76643,2544299393,blankenship7922@mars.edu,Minister,5/19/2016,1/10/2016,1/20/2016
2909,Boyle,Issac,Mr,M,11/17/1993,Separated,584 Horse Bend,Waco,TX,76799,8203911815,issac3@jupiter.edu,Dependent,9/20/2013,3/27/2012,12/24/2017
7003,Atkins,Kaleb,Mr,M,3/12/1950,Divorced,528 Shadow Chase,Waco,TX,76798,8205568397,katkins@venus.edu,Member,8/4/1975,5/25/1975,2/28/2018
1584,Lancaster,Titus,Mr,M,11/20/2003,Not applicable,4693 Pioneer Circle,West,TX,76691,5128758284,titus3@mars.com,Dependent,,4/3/2016,1/3/2018
2086,Burnett,Sofia,Miss,F,5/19/1997,Unknown,7662 Colonial Path,Waco,TX,76797,2545857139,sofia3@venus.gov,Contact,10/23/2017,7/9/2017,2/11/2018
5766,Kaufman,Kennedi,Miss,F,11/28/1975,Unknown,730 Rocky Park,Marion,AL,36756,8204557908,kkaufman@mars.edu,Attender,12/22/2000,2/10/2000,3/14/2018
